"2022년 02월 18일","100.28","101.02","101.28","99.88","8.95M","-0.70%"
"2022년 02월 17일","100.99","102.23","102.31","100.87","5.64M","-1.93%"
"2022년 02월 16일","102.98","102.28","103.21","102.03","9.59M","0.30%"
"2022년 02월 15일","102.67","102.00","102.77","101.99","2.90M","1.75%"
"2022년 02월 14일","100.90","101.14","101.40","100.13","4.29M","-0.50%"
"2022년 02월 11일","101.41","103.20","103.65","101.04","3.68M","-1.73%"
"2022년 02월 10일","103.20","103.31","104.95","102.77","5.33M","-1.44%"
"2022년 02월 09일","104.71","104.10","104.72","104.10","3.04M","1.63%"
"2022년 02월 08일","103.03","102.14","103.20","101.87","2.12M","0.76%"
"2022년 02월 07일","102.25","102.45","102.95","102.04","3.12M","-0.12%"
"2022년 02월 04일","102.37","101.77","103.06","101.37","3.11M","0.44%"
"2022년 02월 03일","101.92","102.70","103.08","101.76","2.90M","-1.93%"
"2022년 02월 02일","103.93","103.88","104.11","103.17","2.61M","0.59%"
"2022년 02월 01일","103.32","102.86","103.40","102.00","3.02M","0.79%"
"2022년 01월 31일","102.51","100.50","102.54","100.35","3.19M","2.09%"
"2022년 01월 28일","100.41","98.88","100.46","97.91","4.60M","1.65%"
"2022년 01월 27일","98.78","100.22","100.78","98.52","4.98M","-0.75%"
"2022년 01월 26일","99.53","101.20","101.84","98.72","3.38M","-0.45%"
"2022년 01월 25일","99.98","99.62","100.97","98.46","5.11M","-0.99%"
"2022년 01월 24일","100.98","99.51","101.05","97.20","8.31M","-0.13%"
"2022년 01월 21일","101.11","102.57","102.94","101.02","4.40M","-1.70%"
"2022년 01월 20일","102.86","104.23","105.20","102.74","3.27M","-0.82%"
"2022년 01월 19일","103.71","104.75","105.05","103.62","2.74M","-0.57%"
"2022년 01월 18일","104.30","104.92","105.03","104.10","3.05M","-1.72%"
"2022년 01월 14일","106.12","105.57","106.17","105.13","2.05M","-0.01%"
"2022년 01월 13일","106.13","107.68","107.80","105.97","1.42M","-1.24%"
"2022년 01월 12일","107.46","107.45","107.75","106.93","2.02M","0.55%"
"2022년 01월 11일","106.87","105.72","106.91","105.26","2.88M","1.15%"
"2022년 01월 10일","105.65","105.22","105.65","104.00","4.14M","-0.33%"
"2022년 01월 07일","106.00","106.17","106.49","105.49","2.55M","-0.14%"
"2022년 01월 06일","106.15","106.09","106.74","105.53","4.13M","-0.09%"
"2022년 01월 05일","106.25","108.09","108.25","106.23","2.95M","-1.70%"
"2022년 01월 04일","108.09","108.53","108.58","107.69","2.01M","0.04%"
"2022년 01월 03일","108.05","107.91","108.09","107.31","2.66M","0.58%"
"2021년 12월 31일","107.43","107.68","107.97","107.43","1.92M","-0.27%"
"2021년 12월 30일","107.72","107.91","108.17","107.62","2.00M","-0.08%"
"2021년 12월 29일","107.81","107.74","107.95","107.42","2.02M","0.04%"
"2021년 12월 28일","107.77","107.97","108.18","107.65","3.54M","-0.11%"
"2021년 12월 27일","107.89","107.00","107.89","106.92","1.45M","1.06%"
"2021년 12월 23일","106.76","106.29","107.02","106.24","2.46M","0.64%"
"2021년 12월 22일","106.08","105.00","106.08","104.95","3.58M","0.92%"
"2021년 12월 21일","105.11","104.05","105.14","103.85","3.42M","1.69%"
"2021년 12월 20일","103.36","103.24","103.43","102.56","5.00M","-1.66%"
"2021년 12월 17일","105.10","105.27","106.00","104.74","3.21M","-0.91%"
"2021년 12월 16일","106.07","107.19","107.33","105.70","3.19M","-0.56%"
"2021년 12월 15일","106.67","105.39","106.70","104.69","2.17M","1.26%"
"2021년 12월 14일","105.34","105.32","105.81","104.78","2.67M","-0.62%"
"2021년 12월 13일","106.00","106.77","106.83","105.93","2.00M","-1.01%"
"2021년 12월 10일","107.08","106.99","107.16","106.39","2.00M","0.51%"
"2021년 12월 09일","106.54","107.02","107.19","106.49","2.80M","-0.89%"
"2021년 12월 08일","107.50","107.18","107.57","106.91","1.90M","0.37%"
"2021년 12월 07일","107.10","106.33","107.21","106.29","1.93M","2.07%"
"2021년 12월 06일","104.93","104.29","105.25","103.74","4.75M","1.10%"
"2021년 12월 03일","103.79","105.07","105.22","102.93","3.06M","-0.93%"
"2021년 12월 02일","104.76","103.52","105.11","103.47","3.84M","1.54%"
"2021년 12월 01일","103.17","105.64","106.21","103.14","5.12M","-1.05%"
"2021년 11월 30일","104.27","105.31","105.74","103.85","4.76M","-1.50%"
"2021년 11월 29일","105.86","106.02","106.25","105.26","2.55M","0.89%"
"2021년 11월 26일","104.93","105.75","105.90","104.61","2.74M","-2.52%"
"2021년 11월 24일","107.64","106.83","107.64","106.64","2.26M","0.06%"
"2021년 11월 23일","107.58","107.46","107.92","106.86","1.82M","-0.02%"
"2021년 11월 22일","107.60","108.43","108.79","107.59","2.16M","-0.57%"
"2021년 11월 19일","108.22","108.47","108.67","108.15","1.38M","-0.45%"
"2021년 11월 18일","108.71","108.72","108.78","108.01","1.55M","0.04%"
"2021년 11월 17일","108.67","108.94","108.94","108.47","2.19M","-0.37%"
"2021년 11월 16일","109.07","108.88","109.31","108.79","2.74M","0.17%"
"2021년 11월 15일","108.88","109.23","109.23","108.73","1.20M","-0.06%"
"2021년 11월 12일","108.94","108.49","108.99","108.34","1.33M","0.67%"
"2021년 11월 11일","108.22","108.33","108.49","108.19","2.12M","0.32%"
"2021년 11월 10일","107.88","108.57","108.91","107.56","1.61M","-0.96%"
"2021년 11월 09일","108.93","109.31","109.34","108.60","1.16M","-0.27%"
"2021년 11월 08일","109.23","109.26","109.37","109.12","1.95M","0.21%"
"2021년 11월 05일","109.00","109.13","109.31","108.59","1.29M","0.32%"
"2021년 11월 04일","108.65","108.56","108.77","108.28","1.45M","0.17%"
"2021년 11월 03일","108.47","107.64","108.53","107.50","1.33M","0.67%"
"2021년 11월 02일","107.75","107.61","107.82","107.49","1.45M","0.02%"
"2021년 11월 01일","107.73","107.44","107.77","107.21","856.12K","0.62%"
"2021년 10월 29일","107.07","106.63","107.13","106.51","1.22M","-0.23%"
"2021년 10월 28일","107.32","106.65","107.34","106.64","1.57M","0.90%"
"2021년 10월 27일","106.36","107.02","107.13","106.34","891.86K","-0.59%"
"2021년 10월 26일","106.99","107.52","107.61","106.88","1.44M","-0.05%"
"2021년 10월 25일","107.04","106.78","107.14","106.42","1.48M","0.33%"
"2021년 10월 22일","106.69","106.75","107.09","106.22","917.38K","0.06%"
"2021년 10월 21일","106.63","106.29","106.64","106.21","1.14M","-0.05%"
"2021년 10월 20일","106.68","106.41","106.76","106.39","867.08K","0.37%"
"2021년 10월 19일","106.29","106.01","106.34","105.89","1.22M","0.72%"
"2021년 10월 18일","105.53","104.92","105.55","104.77","2.18M","0.09%"
"2021년 10월 15일","105.43","105.22","105.52","105.11","1.21M","0.71%"
"2021년 10월 14일","104.69","104.24","104.72","104.05","2.17M","1.38%"
"2021년 10월 13일","103.26","102.94","103.41","102.42","2.56M","0.71%"
"2021년 10월 12일","102.53","102.82","102.99","102.37","2.16M","-0.08%"
"2021년 10월 11일","102.61","103.18","103.72","102.60","1.13M","-0.52%"
"2021년 10월 08일","103.15","103.51","103.60","103.03","1.05M","-0.10%"
"2021년 10월 07일","103.25","103.06","103.81","103.05","1.72M","0.99%"
"2021년 10월 06일","102.24","101.01","102.27","100.71","2.90M","0.00%"
"2021년 10월 05일","102.24","101.69","102.67","101.51","1.78M","0.78%"
"2021년 10월 04일","101.45","102.24","102.38","100.92","2.21M","-1.17%"
"2021년 10월 01일","102.65","102.08","102.97","101.30","4.22M","0.81%"
"2021년 09월 30일","101.83","102.90","103.06","101.80","2.98M","-0.68%"
"2021년 09월 29일","102.53","102.93","103.15","102.40","2.19M","-0.12%"
"2021년 09월 28일","102.65","103.85","103.89","102.48","2.90M","-2.08%"
"2021년 09월 27일","104.83","104.68","105.01","104.50","1.80M","-0.07%"
"2021년 09월 24일","104.90","104.55","105.01","104.49","1.51M","-0.36%"
"2021년 09월 23일","105.28","104.61","105.57","104.61","1.64M","1.12%"
"2021년 09월 22일","104.11","103.70","104.68","103.66","2.77M","0.96%"
"2021년 09월 21일","103.12","103.58","103.84","102.88","2.17M","0.31%"
"2021년 09월 20일","102.80","102.81","103.21","101.70","2.57M","-2.19%"
"2021년 09월 17일","105.10","105.85","105.98","104.92","2.40M","-0.99%"
"2021년 09월 16일","106.15","106.03","106.35","105.55","1.33M","-0.23%"
"2021년 09월 15일","106.39","105.78","106.48","105.56","1.19M","0.61%"
"2021년 09월 14일","105.75","106.63","106.63","105.59","1.21M","-0.59%"
"2021년 09월 13일","106.38","106.75","106.75","105.93","2.95M","0.36%"
"2021년 09월 10일","106.00","107.12","107.21","105.94","4.45M","-0.51%"
"2021년 09월 09일","106.54","106.73","107.14","106.44","2.42M","-0.26%"
"2021년 09월 08일","106.82","107.07","107.14","106.42","1.69M","-0.50%"
"2021년 09월 07일","107.36","107.64","107.64","107.29","1.87M","-0.27%"
"2021년 09월 03일","107.65","107.38","107.74","107.31","1.00M","0.18%"
"2021년 09월 02일","107.46","107.48","107.61","107.23","1.17M","0.31%"
"2021년 09월 01일","107.13","107.02","107.38","106.97","2.07M","0.49%"
"2021년 08월 31일","106.61","106.71","106.77","106.51","973.76K","0.05%"
"2021년 08월 30일","106.56","106.43","106.71","106.26","1.97M","0.24%"
"2021년 08월 27일","106.31","105.45","106.37","105.42","1.23M","1.06%"
"2021년 08월 26일","105.19","105.64","105.70","105.11","1.96M","-0.66%"
"2021년 08월 25일","105.89","105.59","105.96","105.53","1.21M","0.18%"
"2021년 08월 24일","105.70","105.46","105.80","105.38","849.62K","0.54%"
"2021년 08월 23일","105.13","104.69","105.24","104.67","817.87K","1.05%"
"2021년 08월 20일","104.04","103.22","104.07","103.12","983.63K","0.61%"
"2021년 08월 19일","103.41","102.88","103.69","102.86","1.49M","-0.52%"
"2021년 08월 18일","103.95","104.58","104.94","103.89","1.08M","-0.67%"
"2021년 08월 17일","104.65","104.71","104.87","104.00","1.05M","-0.94%"
"2021년 08월 16일","105.64","105.32","105.64","104.88","938.08K","-0.23%"
"2021년 08월 13일","105.88","105.75","105.88","105.57","1.71M","0.23%"
"2021년 08월 12일","105.64","105.45","105.64","105.18","872.48K","0.00%"
"2021년 08월 11일","105.64","105.61","105.64","105.25","918.16K","0.40%"
"2021년 08월 10일","105.22","105.23","105.38","105.09","4.17M","0.08%"
"2021년 08월 09일","105.14","105.19","105.31","104.93","819.13K","-0.05%"
"2021년 08월 08일","105.19","105.19","105.19","105.19","-","0.00%"
"2021년 08월 07일","105.19","105.19","105.19","105.19","-","0.00%"
"2021년 08월 06일","105.19","105.22","105.39","105.03","1.43M","-0.09%"
"2021년 08월 05일","105.28","105.00","105.33","104.95","2.09M","0.50%"
"2021년 08월 04일","104.76","104.94","105.11","104.68","1.42M","-0.32%"
"2021년 08월 03일","105.10","104.58","105.10","104.05","1.38M","0.74%"
"2021년 08월 02일","104.33","104.86","104.98","104.24","1.94M","0.08%"
"2021년 07월 30일","104.25","104.20","104.67","104.02","1.69M","-0.56%"
"2021년 07월 29일","104.84","104.76","105.09","104.76","1.01M","0.49%"
"2021년 07월 28일","104.33","104.06","104.58","103.79","945.81K","0.53%"
"2021년 07월 27일","103.78","103.88","103.88","103.04","7.80M","-0.65%"
"2021년 07월 26일","104.46","104.13","104.46","104.13","1.31M","-0.11%"
"2021년 07월 23일","104.58","104.28","104.63","103.98","1.37M","0.65%"
"2021년 07월 22일","103.90","104.00","104.00","103.51","1.33M","0.11%"
"2021년 07월 21일","103.79","103.03","103.80","102.97","2.10M","1.02%"
"2021년 07월 20일","102.74","101.48","102.98","101.29","4.60M","1.20%"
"2021년 07월 19일","101.52","101.75","101.76","100.88","2.99M","-1.51%"
"2021년 07월 16일","103.08","104.07","104.07","102.94","1.25M","-0.77%"
"2021년 07월 15일","103.88","103.92","104.13","103.41","2.63M","-0.43%"
"2021년 07월 14일","104.33","104.73","104.82","104.12","2.47M","0.08%"
"2021년 07월 13일","104.25","104.52","104.75","104.18","2.08M","-0.47%"
"2021년 07월 12일","104.74","104.33","104.74","104.25","5.59M","0.24%"
"2021년 07월 09일","104.49","103.72","104.49","103.62","19.20M","1.48%"
"2021년 07월 08일","102.97","102.63","103.19","102.26","1.89M","-1.14%"
"2021년 07월 07일","104.16","104.21","104.32","103.54","1.58M","0.25%"
"2021년 07월 06일","103.90","104.43","104.43","103.35","2.21M","-0.51%"
"2021년 07월 05일","104.43","104.43","104.43","104.43","-","0.00%"
"2021년 07월 04일","104.43","104.43","104.43","104.43","-","0.00%"
"2021년 07월 03일","104.43","104.43","104.43","104.43","-","0.00%"
"2021년 07월 02일","104.43","104.08","104.44","103.90","1.67M","0.42%"
"2021년 07월 01일","103.99","103.78","103.99","103.54","1.77M","0.37%"
"2021년 06월 30일","103.61","103.53","103.70","103.42","1.36M","-0.27%"
"2021년 06월 29일","103.89","103.94","104.00","103.72","2.12M","0.02%"
"2021년 06월 28일","103.87","103.99","103.99","103.57","1.48M","-0.11%"
"2021년 06월 25일","103.98","103.88","104.03","103.77","1.42M","0.40%"
"2021년 06월 24일","103.57","103.47","103.65","103.42","1.79M","0.73%"
"2021년 06월 23일","102.82","103.07","103.27","102.77","1.22M","-0.15%"
"2021년 06월 22일","102.97","102.49","103.17","102.29","1.18M","0.25%"
"2021년 06월 21일","102.71","101.77","102.73","101.56","1.69M","0.87%"
"2021년 06월 18일","101.82","102.24","102.40","101.80","1.88M","-1.48%"
"2021년 06월 17일","103.35","103.39","103.61","102.72","2.01M","-0.26%"
"2021년 06월 16일","103.62","104.33","104.34","103.12","1.34M","-0.65%"
"2021년 06월 15일","104.30","104.50","104.50","104.03","808.47K","-0.20%"
"2021년 06월 14일","104.51","104.30","104.51","104.07","776.32K","0.17%"
"2021년 06월 11일","104.33","104.21","104.33","103.94","682.50K","0.18%"
"2021년 06월 10일","104.14","103.95","104.27","103.67","1.13M","0.49%"
"2021년 06월 09일","103.63","104.03","104.03","103.60","1.16M","-0.26%"
"2021년 06월 08일","103.90","104.06","104.11","103.51","1.69M","-0.03%"
"2021년 06월 07일","103.93","103.85","103.94","103.61","2.35M","0.07%"
"2021년 06월 04일","103.86","103.41","103.89","103.41","1.09M","0.95%"
"2021년 06월 03일","102.88","102.79","103.12","102.40","1.32M","-0.55%"
"2021년 06월 02일","103.45","103.40","103.59","103.19","1.95M","0.15%"
"2021년 06월 01일","103.30","103.82","103.85","103.15","1.78M","0.38%"
"2021년 05월 28일","102.91","102.95","103.18","102.80","2.04M","0.28%"
"2021년 05월 27일","102.62","102.68","102.85","102.54","3.35M","0.15%"
"2021년 05월 26일","102.47","102.25","102.52","102.15","1.04M","0.24%"
"2021년 05월 25일","102.22","102.67","102.73","102.05","1.44M","0.02%"
"2021년 05월 24일","102.20","101.88","102.42","101.76","820.76K","0.80%"
"2021년 05월 21일","101.39","101.83","102.00","101.15","1.42M","-0.14%"
"2021년 05월 20일","101.53","100.73","101.73","100.73","1.68M","1.15%"
"2021년 05월 19일","100.38","99.62","100.42","99.21","2.23M","-0.53%"
"2021년 05월 18일","100.91","101.54","101.66","100.84","1.61M","-0.18%"
"2021년 05월 17일","101.09","100.86","101.09","100.56","1.83M","-0.20%"
"2021년 05월 14일","101.29","100.46","101.45","100.46","2.13M","1.62%"
"2021년 05월 13일","99.68","99.04","100.00","98.97","2.05M","0.93%"
"2021년 05월 12일","98.76","100.04","100.40","98.56","3.04M","-2.16%"
